Album,Artist,Total Streams,Total Hours,Unique Tracks,First Listen,Last Listen
Planet Her,Doja Cat,105,4.461636111111111,8,2021-07-25 06:13:48+00:00,2024-06-14 18:06:29+00:00
Roz Roz,The Yellow Diary,105,4.7105266666666665,1,2021-04-07 16:36:07+00:00,2025-07-30 03:01:44+00:00
Mismatched: Season 2 (Soundtrack from the Netflix Series),Taaruk Raina,104,4.736846666666667,1,2022-12-14 23:53:04+00:00,2025-08-19 22:16:33+00:00
slow down,Forrest.,102,4.0348508333333335,1,2022-07-09 03:51:05+00:00,2025-07-30 02:47:01+00:00
FOUR,One Direction,102,3.9539216666666666,16,2019-08-26 12:16:26+00:00,2025-07-11 17:57:35+00:00
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,101,6.3964475,1,2023-06-28 06:55:50+00:00,2025-08-05 15:51:56+00:00
Follow You / Cutthroat,Imagine Dragons,100,3.9637202777777776,2,2021-04-05 18:07:31+00:00,2023-04-16 04:59:53+00:00
This Is Us,Siddhartha Khosla,99,3.2131194444444446,24,2019-03-26 16:06:16+00:00,2022-06-02 15:20:33+00:00
Cry,Cigarettes After Sex,98,6.159876388888889,9,2019-11-23 16:50:33+00:00,2025-06-06 10:16:16+00:00
Nevermind,Nirvana,98,5.417301666666667,5,2019-03-25 16:15:48+00:00,2024-11-03 04:23:35+00:00
Euphoria (Original Score from the HBO Series),Labrinth,97,2.670837222222222,10,2020-07-22 15:07:12+00:00,2023-07-18 15:06:18+00:00
The Search for Everything,John Mayer,97,4.132029444444444,8,2018-11-25 11:47:02+00:00,2023-10-04 04:59:05+00:00
Barfi! (Original Motion Picture Soundtrack),Pritam,96,5.111451944444444,8,2019-06-14 17:38:32+00:00,2025-09-19 04:31:13+00:00
A Rush of Blood to the Head,Coldplay,96,5.686488333333333,7,2018-11-25 07:03:13+00:00,2024-10-04 21:07:10+00:00
The Stranger (Legacy Edition),Billy Joel,95,4.8392027777777775,4,2019-04-03 04:02:43+00:00,2025-07-10 06:22:31+00:00
